sep=;
Instância;P1(Método);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Estrutura);I1(Resultado);I2(Tempo(ms));I3(Iterações);I4(Ordenado);
1;2:Sort();0:nada;5;10;0;3:TVector/std::algorithm;1;73;1;1;
2;2:Sort();0:nada;5;10;0;3:TVector/std::algorithm;1;152;1;1;
3;2:Sort();0:nada;5;10;0;3:TVector/std::algorithm;1;241;1;1;
4;2:Sort();0:nada;5;10;0;3:TVector/std::algorithm;1;336;1;1;
5;2:Sort();0:nada;5;10;0;3:TVector/std::algorithm;1;480;1;1;
6;2:Sort();0:nada;5;10;0;3:TVector/std::algorithm;1;545;1;1;
7;2:Sort();0:nada;5;10;0;3:TVector/std::algorithm;1;588;1;1;
8;2:Sort();0:nada;5;10;0;3:TVector/std::algorithm;1;691;1;1;
9;2:Sort();0:nada;5;10;0;3:TVector/std::algorithm;1;783;1;1;
10;2:Sort();0:nada;5;10;0;3:TVector/std::algorithm;1;907;1;1;
1;2:Sort();0:nada;6;10;0;3:TVector/std::algorithm;1;79;1;1;
2;2:Sort();0:nada;6;10;0;3:TVector/std::algorithm;1;163;1;1;
3;2:Sort();0:nada;6;10;0;3:TVector/std::algorithm;1;241;1;1;
4;2:Sort();0:nada;6;10;0;3:TVector/std::algorithm;1;323;1;1;
5;2:Sort();0:nada;6;10;0;3:TVector/std::algorithm;1;411;1;1;
6;2:Sort();0:nada;6;10;0;3:TVector/std::algorithm;1;568;1;1;
7;2:Sort();0:nada;6;10;0;3:TVector/std::algorithm;1;593;1;1;
8;2:Sort();0:nada;6;10;0;3:TVector/std::algorithm;1;674;1;1;
9;2:Sort();0:nada;6;10;0;3:TVector/std::algorithm;1;806;1;1;
10;2:Sort();0:nada;6;10;0;3:TVector/std::algorithm;1;919;1;1;
1;2:Sort();0:nada;7;10;0;3:TVector/std::algorithm;1;79;1;1;
2;2:Sort();0:nada;7;10;0;3:TVector/std::algorithm;1;190;1;1;
3;2:Sort();0:nada;7;10;0;3:TVector/std::algorithm;1;240;1;1;
4;2:Sort();0:nada;7;10;0;3:TVector/std::algorithm;1;373;1;1;
5;2:Sort();0:nada;7;10;0;3:TVector/std::algorithm;1;463;1;1;
6;2:Sort();0:nada;7;10;0;3:TVector/std::algorithm;1;516;1;1;
7;2:Sort();0:nada;7;10;0;3:TVector/std::algorithm;1;592;1;1;
8;2:Sort();0:nada;7;10;0;3:TVector/std::algorithm;1;683;1;1;
9;2:Sort();0:nada;7;10;0;3:TVector/std::algorithm;1;833;1;1;
10;2:Sort();0:nada;7;10;0;3:TVector/std::algorithm;1;868;1;1;
1;2:Sort();0:nada;8;10;0;3:TVector/std::algorithm;1;72;1;1;
2;2:Sort();0:nada;8;10;0;3:TVector/std::algorithm;1;170;1;1;
3;2:Sort();0:nada;8;10;0;3:TVector/std::algorithm;1;266;1;1;
4;2:Sort();0:nada;8;10;0;3:TVector/std::algorithm;1;361;1;1;
5;2:Sort();0:nada;8;10;0;3:TVector/std::algorithm;1;417;1;1;
6;2:Sort();0:nada;8;10;0;3:TVector/std::algorithm;1;497;1;1;
7;2:Sort();0:nada;8;10;0;3:TVector/std::algorithm;1;597;1;1;
8;2:Sort();0:nada;8;10;0;3:TVector/std::algorithm;1;688;1;1;
9;2:Sort();0:nada;8;10;0;3:TVector/std::algorithm;1;796;1;1;
10;2:Sort();0:nada;8;10;0;3:TVector/std::algorithm;1;864;1;1;
1;2:Sort();0:nada;9;10;0;3:TVector/std::algorithm;1;74;1;1;
2;2:Sort();0:nada;9;10;0;3:TVector/std::algorithm;1;153;1;1;
3;2:Sort();0:nada;9;10;0;3:TVector/std::algorithm;1;276;1;1;
4;2:Sort();0:nada;9;10;0;3:TVector/std::algorithm;1;352;1;1;
5;2:Sort();0:nada;9;10;0;3:TVector/std::algorithm;1;429;1;1;
6;2:Sort();0:nada;9;10;0;3:TVector/std::algorithm;1;502;1;1;
7;2:Sort();0:nada;9;10;0;3:TVector/std::algorithm;1;639;1;1;
8;2:Sort();0:nada;9;10;0;3:TVector/std::algorithm;1;917;1;1;
9;2:Sort();0:nada;9;10;0;3:TVector/std::algorithm;1;859;1;1;
10;2:Sort();0:nada;9;10;0;3:TVector/std::algorithm;1;865;1;1;
1;2:Sort();0:nada;10;10;0;3:TVector/std::algorithm;1;75;1;1;
2;2:Sort();0:nada;10;10;0;3:TVector/std::algorithm;1;155;1;1;
3;2:Sort();0:nada;10;10;0;3:TVector/std::algorithm;1;243;1;1;
4;2:Sort();0:nada;10;10;0;3:TVector/std::algorithm;1;336;1;1;
5;2:Sort();0:nada;10;10;0;3:TVector/std::algorithm;1;442;1;1;
6;2:Sort();0:nada;10;10;0;3:TVector/std::algorithm;1;570;1;1;
7;2:Sort();0:nada;10;10;0;3:TVector/std::algorithm;1;819;1;1;
8;2:Sort();0:nada;10;10;0;3:TVector/std::algorithm;1;783;1;1;
9;2:Sort();0:nada;10;10;0;3:TVector/std::algorithm;1;865;1;1;
10;2:Sort();0:nada;10;10;0;3:TVector/std::algorithm;1;1181;1;1;
