sep=;
Instância;P1(Algoritmo);P2(Debug);P3(Seed);P4(Tempo);P5(Iterações);P6(Ver);P7(Limite);P8(Repetidos);P9(pesoAStar);P10(ruido);P11(baralhar);I1(Custo);I2(Tempo(ms));I3(Iterações);I4(Expansões);I5(Gerações);I6(Lower Bound);
940;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;2298;1403;2298;0;
941;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3851;2329;3851;0;
942;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;2298;1403;2298;0;
943;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3851;2329;3851;0;
944;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;3;4517;2720;4517;0;
945;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;3851;2329;3851;0;
946;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;3407;2057;3407;0;
947;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;2;2782;1674;2782;0;
948;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;26;2;3407;2057;3407;0;
949;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;3;3851;2329;3851;0;
950;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;2298;1403;2298;0;
951;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;25;1;2032;1233;2032;0;
952;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;1940;1174;1940;0;
953;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;1490;899;1490;0;
954;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;0;1034;631;1034;0;
955;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;1490;899;1490;0;
956;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;22;0;1378;830;1378;0;
957;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;1490;899;1490;0;
958;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;1940;1174;1940;0;
959;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;0;1490;899;1490;0;
960;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;1940;1174;1940;0;
961;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;1490;899;1490;0;
962;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;22;1;1378;830;1378;0;
963;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;0;1491;896;1491;0;
964;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;22;1;1199;721;1199;0;
965;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;1491;896;1491;0;
966;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;2;2214;1332;2214;0;
967;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;2214;1332;2214;0;
968;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;24;1;2214;1332;2214;0;
969;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;2214;1332;2214;0;
970;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;22;1;1553;932;1553;0;
971;5:A*;0:nada;1;10;0;4;0;2:ascendentes;100;0;0;23;1;2214;1332;2214;0;
